Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.42.0.105-13.216.50.250-59824-443-6,10.42.0.105,59824,13.216.50.250,443,6,10/03/2025 20:37,1657,1,1,0,0,0,0,0,0,0,0,0,0,0,1207.000604,1657,0,1657,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,603.5003018,603.5003018,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
10.42.0.1-10.42.0.105-80-50588-6,10.42.0.105,50588,10.42.0.1,80,6,10/03/2025 20:28,55,0,2,0,0,0,0,0,0,0,0,0,0,0,36363.63636,55,0,55,55,0,0,0,0,0,55,55,0,55,55,0,0,0,0,0,60,0,36363.63636,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
10.42.0.105-99.80.98.228-58952-443-6,10.42.0.105,58952,99.80.98.228,443,6,10/03/2025 20:37,105,1,1,0,0,0,0,0,0,0,0,0,0,0,19047.61905,105,0,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,9523.809524,9523.809524,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
224.0.0.251-10.42.0.105-5353-53278-17,10.42.0.105,53278,224.0.0.251,5353,17,10/03/2025 20:32,2016614,2,1,8,4,4,4,4,0,4,4,4,0,5.950568626,1.487642157,1008307,7933.738085,1013917,1002697,1013917,1013917,0,1013917,1013917,0,0,0,0,0,0,0,0,0,16,8,0.991761438,0.495880719,4,4,4,0,0,0,0,0,0,0,0,0,0,0,5.333333333,4,4,0,0,0,0,0,0,2,8,1,4,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
10.42.0.105-99.80.98.228-49264-443-6,10.42.0.105,49264,99.80.98.228,443,6,10/03/2025 20:31,249,1,1,0,0,0,0,0,0,0,0,0,0,0,8032.128514,249,0,249,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4016.064257,4016.064257,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
10.42.0.1-10.42.0.105-53-36676-17,10.42.0.105,36676,10.42.0.1,53,17,10/03/2025 20:37,14782,0,2,0,202,0,0,0,0,149,53,101,67.88225099,13665.26857,135.2996888,14782,0,14782,14782,0,0,0,0,0,14782,14782,0,14782,14782,0,0,0,0,0,16,0,135.2996888,53,149,85,55.42562584,3072,0,0,0,0,0,0,0,0,0,127.5,0,101,0,0,0,0,0,0,0,0,2,202,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.42.0.21-10.42.0.105-9999-46515-17,10.42.0.21,9999,10.42.0.105,46515,17,10/03/2025 20:31,2041055,2,1,2014,1007,1007,1007,1007,0,1007,1007,1007,0,1480.1169,1.469828104,1020527.5,35863.74884,1045887,995168,1045887,1045887,0,1045887,1045887,0,0,0,0,0,0,0,0,0,16,8,0.979885402,0.489942701,1007,1007,1007,0,0,0,0,0,0,0,0,0,0,0,1342.666667,1007,1007,0,0,0,0,0,0,2,2014,1,1007,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
10.42.0.105-54.217.100.167-33870-443-6,10.42.0.105,33870,54.217.100.167,443,6,10/03/2025 20:34,28,1,1,0,0,0,0,0,0,0,0,0,0,0,71428.57143,28,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,35714.28571,35714.28571,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
10.42.0.105-18.238.243.42-34556-443-6,18.238.243.42,443,10.42.0.105,34556,6,10/03/2025 20:37,4576,0,2,0,0,0,0,0,0,0,0,0,0,0,437.0629371,4576,0,4576,4576,0,0,0,0,0,4576,4576,0,4576,4576,0,0,0,0,0,64,0,437.0629371,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,81,0,0,0,0,0,0,0,0,0,0,No Label
10.42.0.105-54.217.100.167-47968-443-6,54.217.100.167,443,10.42.0.105,47968,6,10/03/2025 20:36,128871,0,3,0,0,0,0,0,0,0,0,0,0,0,23.27909305,64435.5,90706.95078,128575,296,0,0,0,0,0,128871,64435.5,90706.95078,128575,296,0,0,0,0,0,72,0,23.27909305,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
255.255.255.255-10.42.0.105-9999-47021-17,10.42.0.105,47021,255.255.255.255,9999,17,10/03/2025 20:32,2003099,2,1,294,147,147,147,147,0,147,147,147,0,220.1588638,1.497679346,1001549.5,4164.151834,1004494,998605,998605,998605,0,998605,998605,0,0,0,0,0,0,0,0,0,16,8,0.998452897,0.499226449,147,147,147,0,0,0,0,0,0,0,0,0,0,0,196,147,147,0,0,0,0,0,0,2,294,1,147,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
10.42.0.230-54.78.138.250-51217-8883-6,10.42.0.230,51217,54.78.138.250,8883,6,10/03/2025 20:41,40263491,3,3,31,93,31,0,10.33333333,17.89785834,31,31,31,0,3.079713083,0.149018375,8052698.2,1.78E+07,4.00E+07,15175,4.00E+07,2.00E+07,2.82E+07,4.00E+07,49464,4.02E+07,2.01E+07,2.84E+07,4.02E+07,34678,0,1,0,0,60,60,0.074509187,0.074509187,0,31,22.14285714,15.12645113,228.8095238,0,0,0,1,1,0,0,0,1,25.83333333,10.33333333,31,0,0,0,0,0,0,3,31,3,93,-1,8961,1,0,262091,0,262091,262091,4.00E+07,0,4.00E+07,4.00E+07,No Label
