Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Fwd Pkt Len Mean,Bwd Pkt Len Mean,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Bwd IAT Mean,Down/Up Ratio,Pkt Size Avg,Pkt Len Std,Fwd Seg Size Avg,Bwd Seg Size Avg
28,1,1,0.0,24.0,28.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
3487790,9,8,69.33333333333333,515.875,217986.875,736205.2404216164,431368.625,66570.28571428571,0.0,279.47058823529414,433.1957134411545,69.33333333333333,515.875
15,1,1,0.0,24.0,15.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
1756687,50,51,135.93999999999997,704.8039215686275,17566.870000000006,21716.243712551423,35219.40816326531,35101.59999999999,1.0,423.1881188118812,498.0309927444598,135.94,704.8039215686274
48,1,1,0.0,24.0,48.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
119977403,22,25,493.27272727272725,10.199999999999998,2608204.4130434776,7236813.540286384,5711629.476190477,4921911.625,1.0,236.91489361702128,449.3697946265359,493.27272727272725,10.2
3156130,9,7,69.22222222222223,441.1428571428572,210408.6666666667,759528.9628441402,389920.25,24208.833333333336,0.0,231.9375,399.5284352686744,69.22222222222223,441.1428571428572
16,1,1,0.0,24.0,16.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
3175502,9,7,69.33333333333333,441.0,211700.1333333333,760334.430336308,392226.5,26158.5,0.0,231.9375,399.4146912523816,69.33333333333333,441.0
9,1,1,0.0,24.0,9.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
3179915,9,7,69.33333333333333,441.0,211994.3333333333,756769.0504605434,392620.125,28700.0,0.0,231.9375,399.4146912523816,69.33333333333333,441.0
14,1,1,0.0,24.0,14.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
3153539,9,7,65.55555555555556,441.5714285714286,210235.93333333332,758777.9708477184,389823.5,24167.166666666664,0.0,230.0625,399.2951786659618,65.55555555555556,441.57142857142856
3151015,9,7,69.33333333333333,441.0,210067.66666666663,761078.4189982064,389505.875,24719.0,0.0,231.9375,399.4146912523816,69.33333333333333,441.0
27,1,1,0.0,24.0,27.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
5,1,1,0.0,24.0,5.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
3180752,9,7,65.55555555555556,441.5714285714286,212050.1333333333,764213.7422923049,392908.25,26519.166666666668,0.0,230.0625,399.2951786659618,65.55555555555556,441.57142857142856
7,1,1,0.0,24.0,7.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
3214791,10,10,57.6,473.80000000000007,169199.52631578947,680300.9599024185,352476.0,21531.88888888889,1.0,265.7,452.20398894641306,57.6,473.8
3201232,10,9,70.4,478.6666666666667,177846.22222222222,694729.0510936455,351195.1111111111,24402.25,0.0,263.7894736842105,447.1178344628369,70.4,478.6666666666667
6,1,1,0.0,24.0,6.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
4,1,1,0.0,24.0,4.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
3158021,9,7,65.33333333333333,492.8571428571429,210534.7333333333,760258.2364501896,390487.5,24455.0,0.0,252.375,426.4777423335037,65.33333333333333,492.8571428571428
6,1,1,0.0,24.0,6.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
3202930,9,7,65.55555555555556,441.7142857142857,213528.66666666663,760562.1307976908,392989.0,30153.5,0.0,230.125,399.4236564763549,65.55555555555556,441.7142857142857
5,1,1,0.0,24.0,5.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
3182289,9,7,69.22222222222223,441.0,212152.6,764362.640998069,393394.125,26084.833333333336,0.0,231.875,399.40041459226177,69.22222222222223,441.0
29,1,1,0.0,24.0,29.0,0.0,0.0,0.0,1.0,24.0,13.856406460551018,0.0,24.0
118779229,19,17,71.26315789473684,66.23529411764706,3393692.2571428567,7405467.83804385,5845902.277777778,7423701.812499998,0.0,72.55555555555556,20.192764737592213,71.26315789473684,66.23529411764706
105227058,13,1,0.0,0.0,8094389.076923078,10362634.701038482,8683588.75,0.0,0.0,0.0,0.0,0.0,0.0
